id,business_blank,business_categories,business_city,business_full_address,business_id,business_latitude,business_longitude,business_name,business_neighborhoods,business_open,business_review_count,business_stars,business_state,business_type,cool,date,funny,review_id,reviewer_average_stars,reviewer_blank,reviewer_cool,reviewer_funny,reviewer_name,reviewer_review_count,reviewer_type,reviewer_useful,stars,text,type,useful,user_id
208854,FALSE,Restaurants; Italian,Scottsdale,"6339 E Greenway Rd
Ste 108
Scottsdale, AZ 85254",gHKB66up5VluCWT4vuSZpw,33.624662,-111.943525,Tutti Santi By Nina,NA,TRUE,76,4,AZ,business,0,10/23/2009,0,eYMNhO6aH2s6oheViaLGwg,0,TRUE,0,0,NA,0,user,0,5,"As a geezer who never claims Omg. 

OMFG.

This places makes you wish you had Pavarotti's lungs and a full cello suite. 

Great food, great service. Order the Veal Francese or the Veal Marsala, with the inky Super Tuscan; Modus 2006 Ruffino.

The Tiramisu was superlative.

This is the ONLY place in Arizona I would put on par with my favorite comfort-preset phenomena: Flemings.

Do try it.

As for the 'strip-mall' woes below me; note that you're not on the pavement, yeah? Once you're in, you're in. 2 stars is bogus Scrapbooking-PMS whining. Get with the program, lass.",review,0,bkYKrAbREHReX5bFVYET6A
224744,FALSE,Bars; American (New); Nightlife; Lounges; Restaurants,Phoenix,"5455 E High St
Ste 101
Phoenix, AZ 85054",ttLtsY1S2Angj6hvEdzwDQ,33.6753306,-111.9633729,Blue Martini,NA,TRUE,107,3.5,AZ,business,0,6/11/2012,0,96GZmI9T-_AG4MfAO8dnKQ,3.7,FALSE,0,0,Lance,10,user,3,4,"Had a great time with my beautiful wife listening to The Instant Classics. Drinks are pricey and menu seems a little limited, but I had a great time. Looking forward sharing Blue Martini and TIC with friends.",review,0,p5jXjPeG-lh8lOwFioboZg
16643,FALSE,Dive Bars; Bars; Nightlife,Scottsdale,"4310 N Brown Ave
Scottsdale, AZ 85251",SjFl_V6BTGkmv4tbub-AVw,33.49867,-111.924644,Mickey's Hangover,NA,FALSE,51,3.5,AZ,business,0,4/8/2008,0,n-gpBMjvJF0fpnNBSYybqg,3.4,FALSE,43,86,JENNY,112,user,106,1,"OK, I know this is classified as a ""dive bar"" but the smell of vomit was so over powering last Sunday night that we walked in and walked right out.  My friend had the dry heaves all the way to the Saddle Ranch.",review,1,PdjTAOxX3sjAAXTZJJyJvw
141259,FALSE,American (New); Restaurants,Phoenix,"2 E Jefferson St
Phoenix, AZ 85004",kr3EFhoSwbJPrL_e_RD39g,33.4471735,-112.073781,Blue Hound Kitchen & Cocktails,NA,TRUE,80,3.5,AZ,business,0,12/13/2012,1,CXp_3u1UIRqxQKhZq21Qlg,3.58,FALSE,7,10,Kevin,105,user,41,1,"Awful service and marginal food at best. Way over cooked.

That said, it's a lovely setting with immense, but unfulfilled, potential.

The outdoor patio and tater tots were the highlight of a marginal experience.",review,0,sM_5WWwzsKomERthYdmd7w
141061,FALSE,Bars; American (New); Nightlife; Restaurants,Phoenix,"816 N 3rd St
Phoenix, AZ 85004",7cP7WFmWiTVh-raIL3N_Vw,33.4571599,-112.0699779,The Roosevelt,NA,FALSE,224,4,AZ,business,7,1/21/2010,9,bjzqc1hy_yLcAhPzq8lxfg,4.14,FALSE,66,103,Collin,7,user,68,3,"Ok look, I understand that anything can become a cult classic when a few people known to be ""cool"" deem it ""magical"".  Picture somebody you really like and want to be your friend saying these things in a really annoying dramatic tone; ""Oh my god, I have to have it right now!"".  ""This is the best thing on the planet!!""  ""Dude, you're insane if you don't love this.""  I bet you can guess what I'm referring to by now, it is indeed the infamous Grilled Cheese and Tomato soup ""snack"" bonered over by pretty much everybody I've ever met in CenPho.  Now I'll be honest, I've only been to the Roosevelt twice, and actually had a good time both times, but I had to give it 3 stars for a couple little nit-picky things, as well as the fact that I'm anti-bandwagon when it comes to sports, and food.  

Really?!  I had better tomato soup on Continental Airlines for christ's sake.  I am not a big soup eater, but I've always appreciated tomato soup for its dip-ability, and simplicity.  I dont need a full salad of basil in the soup, and honestly I found it kinda watery.  Again, maybe its just because of the people who its got bent over telling me how bomb it is, but all I could think was ""meh"".  

I can also cook a better grilled cheese with the bread from Tent City (don't worry about why I know what the Tent City bread is like) on a linoleum countertop with a clothes iron, while getting robbed, attacked by a wild boar (which I would subdue with the iron), and nagged by the super annoying chick that I mistakenly dated for a couple weeks last year.  I'm not a foodie, so I don't remember specifically what kind of bread and cheeses were used, but I do remember waaaay to much of said bread, and not nearly enough cheese, for 8 bucks.  8 bucks?!  Send me to Safeway, fuck that, Food City with 8 bucks and I'll make you a grilled cheese and tomato soup that will leave you begging for a cigarette.  

But I digress.  Actually, overall, I like the Roosevelt.  The high top tables were rickety as shit and the little candle on the table served more as a way for me to burn myself testing my manhood by holding my hand over it than a light source.  The place itself is cute, and I've always liked places that have a homey feel.  Our waitress was wonderful, and even gave us some in depth info on where they get some of their ingredients.  I have one more gripe, and it's that I was apparently an asshole for asking for a bourbon, and not knowing before I stepped inside that they only serve beer and wine.  The bartender looked at me like I was a moron (which she has every right to do b/c she's dead on) and told me to rethink my selection of Wild Turkey on the rocks.  I love Oak Creek, so I was pleased to see that they carried it, but I think they probably lose the business of some people looking for a cocktail.

So, I'm more than confident that you will enjoy the Roosevelt, but if somebody tells you that you'll never have a better grilled cheese in your life, go in with the mentality that they're just making sure that the chick/dude they're lusting after thinks they have good taste.  You'll never get her anyway broseph.",review,6,vXnfpkOK2djHNVsUxpSioQ
210984,FALSE,Bars; Music Venues; Arts & Entertainment; Dive Bars; Nightlife; Lounges,Scottsdale,"8005 E Roosevelt St
Scottsdale, AZ 85250",axNlxFkTSFqivM_k36k0BA,33.4577445,-111.9081615,Chaser's Nightclub,NA,TRUE,16,3.5,AZ,business,0,4/25/2009,0,Y2qAJ69DUG0oaSk44zmHZw,3.99,FALSE,2025,1209,Michael,900,user,2685,3,"Went here for the Fender Band Jam event with some friends last night (fundraising for Habitat for Humanity).

This is a big dive bar, but it can be pretty fun when it's busy... Cheap drinks, live music, pool, darts... they do not have a smoking patio unfortunately. 

If a band that you like plays here, it's worth the trip...",review,1,90a6z--_CUrl84aCzZyPsg
31688,FALSE,Seafood; Mexican; Restaurants,Phoenix,"1605 E Garfield St
Phoenix, AZ 85006",Cp6JGY5YIRncTV_My9nf9g,33.4576266,-112.0474748,Mariscos Playa Hermosa,NA,TRUE,84,4.5,AZ,business,1,2/14/2012,0,Jn1STE_ZMK9jB40-x4QWXA,3.94,FALSE,104,112,Stephanie,192,user,225,5,"Okay, so I'm just a Bostonian who has basically been totally awed by Arizona in general, but seriously this place was totally amazing.

Not only did they give us salsa and chips (both delicious) to start our meal, but also a small serving of cerviche which was fantastic. And the meals were SO BIG. We were just two people, and after we both ordered a meal and a margharita, the waiter asked us, ""is that all?"" and we were worried we hadn't ordered enough but it turned out we ordered too much. And oh my gosh it was so good.

The server recommended shrimp in green sauce, and we also go the octopus. Amazing! As a side note, the beer serving was also huge. The atmosphere was perfect, there was copious parking, the restaurant was maybe a 7 minute drive from our car rental. Everything was for the win!

They do close early (at least when we were there) so keep that in mind. But oh my gosh, thank you for your incredible Mexican food!",review,2,sz9n4lecP_i63iGEngCyxA
55480,FALSE,Korean; Restaurants,Glendale,"4920 W Thunderbird Rd
Ste 117
Glendale, AZ 85311",6Y-6Y6sy6qOQHrWI37zR1Q,33.6116508,-112.165568,Chuhgajib Korean BBQ,NA,TRUE,84,3.5,AZ,business,0,8/14/2009,0,GJhTLVKb3E4UE12xYi40sg,3.87,FALSE,31,51,Vicki,61,user,90,3,"My friend took me to this Korean BBW a week ago on a Sunday. It is located in a strip mall across from ASU - West. Upon entering the first thing i noticed was the furniture made of trees. It's really different and fun!
I cannot remember what we ordered but first we were served 6 or so small white bowls with cold vegetables. I was not impressed, although the cold potatoes weren't vomitous.
Then came the sizzling strips of beef and THAT was delicious, some of the best tasting strips of beef I've ever devoured.

I would say if you like Korean food, you would enjoy this place. I am not a fan of Korean food but I would eat those strips of beef anyday.",review,0,IwxFKXDokKZdiD5iUdJPgQ
59465,FALSE,American (New); Restaurants,Phoenix,"4750 N Central Ave
Phoenix, AZ 85012",AaKlegu7gmOCD4rEESF76Q,33.5071469,-112.0744706,Maizie's Cafe & Bistro,NA,TRUE,258,4,AZ,business,2,6/6/2011,2,xNUo1fbCq3xaTCcq6XYV0Q,3.45,FALSE,336,308,Vern,190,user,564,3,"Went to @Maizies strictly for cocktails.

I love the patio. The misters became a bit much for my companion, so we switched places. Hat FTW!

Liked the Hoegaarden draught.

We were well attended to, which is nice.

I'll write more next time, when I eat something.",review,2,7cR92zkDv4W3kqzii6axvg
38580,FALSE,American (New); Restaurants,Phoenix,"5816 N 16th St
Phoenix, AZ 85016",Pfb6VOIiroqDWOebfgWGPQ,33.5229858,-112.0476585,Phoenix City Grille,NA,TRUE,134,4,AZ,business,0,3/7/2007,0,apDT_xc8yIzONVdviL77cw,0,TRUE,0,0,NA,0,user,0,4,"I wish I could remember the name of the pasta I had here, but I can't! And I can't find their website to look at their menu either.  All I can tell you is that it was delicious and I was the envy of all the diners at my table.  I could see everyone eyeing my pasta and wishing that they had got what I did.  AND it was pretty big, so I ended up taking half of it home with me. Nice!

For dessert, I had the pumpkin cheesecake, which was amazing.  Really, really good. Definitely give this place a try!",review,1,0CMz8YaO3f8xu4KqQgKb9Q
190080,FALSE,Pizza; Restaurants,Phoenix,"1135 E Glendale Ave
Phoenix, AZ 85020",GvwDppcJLm9lso9iS2hSIw,33.5382586,-112.0571061,Pat's Pizza Plus,NA,TRUE,48,4,AZ,business,1,2/27/2011,1,wiLy7YOAF5PriY7MBxpkIA,3.29,FALSE,1502,1492,Albert,1107,user,2132,4,"Sicilian and standard pizzas were fairly good.  Spaghetti was alright.  Prices were reasonable.  The small family owned feel is obvious, especially with the assinine signs about not taking the magazines and such.  Hardly any seating inside, so plan on takeout.",review,1,joIzw_aUiNvBTuGoytrH7g
46715,FALSE,Restaurants; American (New); Karaoke; Nightlife,Scottsdale,"4013 N Brown Ave
Scottsdale, AZ 85251",z6vO1HR8L2iW4avr610XKw,33.494295,-111.924219,The Grapevine,NA,TRUE,89,3,AZ,business,8,3/1/2012,8,LfMxBynys4xubTSeSxlrCw,3.31,FALSE,870,930,Dave,146,user,947,5,"Always I have found a good time here! Downstairs they have 'Cowboy Karaoke' the local old timers singing old time hits... And you know what? It's always entertaining. I've met and had great conversations with the bar patrons. Been upstairs with the tiki torches going on cool evenings with the younger crowd too. Something for everyone at The Vine. One time really drunk I looked over an saw Elvis enjoying himself here as well. Well bourbon in a short glass with coke, nice price, very reasonable so I'll stay for another, and maybe get a bite to eat. Here you will find the real old west of scottsdale, that you've been looking for",review,8,x3be6uxIqd9Dypu-o9KsKg
159059,FALSE,Mexican; Restaurants,Tolleson,"9820 W Lower Buckeye Rd Ste 103
Tolleson, AZ 85353",4zkNU2m_LKPo2h790zfXAw,33.421215,-112.269912,Viva Mexican Grill,NA,TRUE,7,3,AZ,business,1,2/7/2011,0,y71LQZQtjDXnL_bv3ZACiQ,3.97,FALSE,116,50,Gina,77,user,173,3,"So, I returned and tried a lengua(beef tongue) mini taco. Once again, delicious, with melt-in-your-mouth tender cubes of meat, and the lovely contrast of raw onions and cabbage.

their tortilla chips? not that great...they were too hard, too greasy, although they did have a good amount of salt. I had them with their salsa...very spicy and smoky, but it was more of a bean salsa(not chunky, but a powerful flavor of beans...not my thing).",review,1,xdhu_CZVomaGPD2qB0IQXw
83594,FALSE,Food; Coffee & Tea,Phoenix,"5410 E High St
Ste 115
Phoenix, AZ 85054",Kqn4J9NTgZdMAnV4HuYh5A,33.67585423,-111.9667339,Press Coffee,NA,FALSE,61,4.5,AZ,business,0,11/5/2010,0,W6s-18UjBZ-FqfYwD64okQ,3.49,FALSE,36,63,Ryan,63,user,72,5,"I have been going there at least once a week since they opened (for food and coffee) and the staff is always pleasant, the food is always good and the coffee is always terrific! Great atmosphere inside and out. So glad to hear they are opening another store at Scottsdale Quarter! Now I can finally get some GOOD coffee when I am in the Kierland area!",review,0,Da4aw-NF9ond8U6XYRmT0g
